Times University;Top University
University of Oxford;University of Oxford
California Institute of Technology caltech;California Institute of Technology (Caltech)
Massachusetts Institute of Technology;Massachusetts Institute of Technology (MIT)
Princeton University;Princeton University
University of Chicago;University of Chicago
ETH Zurich – Swiss Federal Institute of Technology Zurich;ETH Zurich - Swiss Federal Institute of Technology
University of Pennsylvania;University of Pennsylvania
Johns Hopkins University;Johns Hopkins University
University of California, Los Angeles;University of California, Los Angeles (UCLA)
University College London ucl;UCL (University College London)
University of California, Berkeley;University of California, Berkeley (UCB)
Northwestern University;Northwestern University
National University of Singapore nus;National University of Singapore (NUS)
Carnegie Mellon University;Carnegie Mellon University
California Institute of Technology caltech;California Institute of Technology (Caltech)
University of Washington;University of Washington
New York University;New York University (NYU)
Tsinghua University Qinghua University Tsing hua University Qing hua University;Tsinghua University
University of California, San Diego;University of California, San Diego (UCSD)
Georgia Institute of Technology;Georgia Institute of Technology
LMU Munich Ludwig-Maximilians-Universität München;X
King’s College London;King's College London
École Polytechnique Fédérale de Lausanne;Ecole Polytechnique Fédérale de Lausanne (EPFL)
University of Hong Kong HKU hku The University of Hong Kong;The University of Hong Kong
Technical University of Munich;Technical University of Munich
University of Wisconsin-Madison;University of Wisconsin-Madison
Hong Kong University of Science and Technology hkust Hong Kong University of Science and Technology;The Hong Kong University of Science and Technology
Heidelberg University;Ruprecht-Karls-Universität Heidelberg
Australian National University anu;The Australian National University
Brown University;Brown University
Nanyang Technological University, Singapore  NTU Nan yang;Nanyang Technological University, Singapore (NTU)
University of California, Santa Barbara;University of California, Santa Barbara (UCSB)
University of California, Davis;University of California, Davis
University of Minnesota;University of Minnesota
University of North Carolina at Chapel Hill;University of North Carolina, Chapel Hill
Chinese University of Hong Kong;The Chinese University of Hong Kong (CUHK)
Purdue University;Purdue University
Humboldt University of Berlin;Humboldt-Universität zu Berlin
Wageningen University & Research;Wageningen University
University of Southern California;University of Southern California
Utrecht University utrecht  utrecht university;Utrecht University
University of Maryland, College Park;University of Maryland, College Park
Ohio State University;The Ohio State University
Paris Sciences et Lettres – PSL Research University Paris;X
Kyoto University;Kyoto University
University of Bristol;University of Bristol
McMaster University;McMaster University
University of Glasgow;University of Glasgow
University of Groningen;University of Groningen
University of New South Wales unsw australia unsw;The University of New South Wales (UNSW Sydney)
Uppsala University;Uppsala University
University of Helsinki;University of Helsinki
Technical University of Berlin;Technische Universität Berlin (TU Berlin)
University of Tübingen;Eberhard Karls Universität Tübingen
Korea Advanced Institute of Science and Technology (KAIST);KAIST - Korea Advanced Institute of Science & Technology 
Durham University;Durham University
University of California, Irvine;University of California, Irvine
versity of Colorado Boulder';University of Colorado Boulder
Maastricht University;Maastricht University
University of Bern;University of Bern
University of Montreal;Université de Montréal
University of Copenhagen;University of Copenhagen
University of Western Australia uwa;University of Western Australia uwa
University of Virginia;University of Virginia
Indiana University;Indiana University Bloomington
City University of Hong Kong CityU HK City U Hong Kong;City University of Hong Kong
Queen Mary University of London;Queen Mary University of London
Georgetown University;Georgetown University
University of Mannheim;Universität Mannheim
Charité - Universitätsmedizin Berlin;X
Université Catholique de Louvain;Université catholique de Louvain (UCL)
University of Geneva;University of Geneva
Karlsruhe Institute of Technology;KIT, Karlsruhe Institute of Technology
Stockholm University;Stockholm University
Pohang University of Science and Technology postech;Pohang University of Science And Technology (POSTECH)
University of York;University of York
University of Birmingham;University of Birmingham
University of Florida;University of Florida
University of Cologne;University of Cologne
Autonomous University of Barcelona;Universitat Autònoma de Barcelona
University of Sussex;University of Sussex
University of Notre Dame;University of Notre Dame
Technical University of Denmark;Technical University of Denmark
Scuola Superiore Sant’Anna;Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento
Case Western Reserve University;Case Western Reserve University
Texas A&M University;Texas A&M University
University of California, Santa Cruz;University of California, Santa Cruz
University of Erlangen-Nuremberg;X
Vrije Universiteit Amsterdam;Vrije Universiteit Amsterdam
University of Alabama at Birmingham;University of Alabama
Tufts University;Tufts University
Rutgers, the State University of New Jersey;Rutgers - The State University of New Jersey, Newark
KTH Royal Institute of Technology;KTH Royal Institute of Technology
Université Libre de Bruxelles;Universite libre de Bruxelles
University of Liverpool;University of Liverpool
Zhejiang University ZJU Zhejiang University China research;Zhejiang University
University of Luxembourg;X96
Paris-Sud University;Université Paris-Sud
Hong Kong Polytechnic University hkpu hong kong poly;The Hong Kong Polytechnic University
Scuola Normale Superiore di Pisa;Scuola Normale Superiore di Pisa
University of Miami;University of Miami
University of East Anglia;University of East Anglia (UEA)
Aalto University;Aalto University
University of Auckland;The University of Auckland
Lomonosov Moscow State University;Lomonosov Moscow State University
Paris-Sorbonne University – Paris 4;Université Paris-Sorbonne (Paris IV)
Royal Holloway, University of London;Royal Holloway University of London
University of California, Riverside;University of California, Riverside
National Taiwan University;National Taiwan University (NTU)
University of Cambridge;University of Cambridge
Stanford University;Stanford University
Harvard University;Harvard University
Imperial College London;Imperial College London
KU Leuven;KU Leuven
Pompeu Fabra University;Pompeu Fabra University
Yale University;Yale University
Columbia University;Columbia University
Ulm University;University Ulm
Duke University;Duke University
Cornell University;Cornell University
University of Michigan;University of Michigan
University of Toronto;University of Toronto
University of Edinburgh;The University of Edinburgh
Peking University;Peking University
University of Melbourne;The University of Melbourne
University of British Columbia;University of British Columbia
University of Tokyo;The University of Tokyo
University of Texas at Austin;University of Texas at Austin
Washington University in St Louis;Washington University in St. Louis
McGill University;McGill University
University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign
Karolinska Institute;X
University of Amsterdam;University of Amsterdam
University of Sydney;The University of New South Wales (UNSW Sydney)
Delft University of Technology;Delft University of Technology
University of Queensland;The University of Queensland
Leiden University;Leiden University
University of Manchester;The University of Manchester
Seoul National University;Seoul National University
Pennsylvania State University;Pennsylvania State University
RWTH Aachen University;RWTH Aachen University
Monash University;Monash University
Michigan State University;Michigan State University
Rice University;Rice University
Free University of Berlin;Freie Universitaet Berlin
University of Warwick;The University of Warwick
Lund University;Lund University
University of Basel;University of Basel
Emory University;Emory University
University of Bonn;Rheinische Friedrich-Wilhelms-Universität Bonn
Boston University;Boston University
Erasmus University Rotterdam;Erasmus University Rotterdam
Radboud University Nijmegen;Radboud University
Pierre and Marie Curie University;Université Pierre et Marie Curie (UPMC)
Arizona State University;Arizona State University
University of Southampton;University of Southampton
University of Exeter;The University of Exeter
University of Science and Technology of China;University of Science and Technology of China
University of Adelaide;The University of Adelaide
University of Zurich;University of Zurich
University of Leicester;University of Leicester
University of Arizona;The University of Arizona
Cardiff University;Cardiff University
University of Vienna;University of Vienna
University of Würzburg;Julius-Maximilians-Universität Würzburg
Nanjing University;Nanjing University
University of Pittsburgh;University of Pittsburgh
University of Sheffield;The University of Sheffield
Vanderbilt University;Vanderbilt University
Aarhus University;Aarhus University
Sungkyunkwan University (SKKU);Sungkyunkwan University (SKKU)
University of Göttingen;University of Göttingen
École Polytechnique;Ecole Polytechnique
Trinity College Dublin;Trinity College Dublin, The University of Dublin
University of Leeds;University of Leeds
Eindhoven University of Technology;Eindhoven University of Technology
University of St Andrews;University of St Andrews
University of Oslo;University of Oslo
University of Nottingham;The University of Nottingham
Lancaster University;Lancaster University
University of Lausanne;University of Lausanne
University of Rochester;University of Rochester
TU Dresden;Technische Universität Dresden
University of Münster;Westfälische Wilhelms-Universität Münster
Newcastle University;Newcastle University
University of Cape Town;University of Cape Town
University of Aberdeen;University of Aberdeen
University of Dundee;University of Dundee
Shanghai Jiao Tong University;Shanghai Jiao Tong University
University of Massachusetts;University of Massachusetts Amherst
Northeastern University;Northeastern University
Tilburg University;Tilburg University
University of Twente;University of Twente
École Normale Supérieure de Lyon;École Normale Supérieure de Lyon
University of Gothenburg;University of Gothenburg
University of Freiburg;Albert-Ludwigs-Universitaet Freiburg
Fudan University;Fudan University
University of Alberta;University of Alberta
Dartmouth College;Dartmouth College
Ghent University;Ghent University
